sys_updated_by,number,closed_by,state,caller_id,assigned_to,opened_at,sys_updated_on,closed_at,short_description,assignment_group,priority,category
system,INC0000000000,Charlie Whitherspoon,Closed,David Loo,Beth Anglin,2023-01-01 09:47:00,2023-01-13 08:34:29.971196654,2023-01-13 08:34:29.971196654,Unable to access the database,Database,2 - High,Database
admin,INC0000000001,Luke Wilson,Closed,Don Goodliffe,Howard Johnson,2023-01-06 14:18:00,2023-01-21 02:52:18.141295336,2023-01-21 02:52:18.141295336,"VPN issue, frequent disconnection",Network,2 - High,Network
admin,INC0000000002,Luke Wilson,Closed,Don Goodliffe,Luke Wilson,2023-01-06 16:20:00,2023-01-24 03:10:49.619669487,2023-01-24 03:10:49.619669487,Unable to access the company's intranet,Network,2 - High,Network
employee,INC0000000003,Beth Anglin,Closed,Don Goodliffe,Charlie Whitherspoon,2023-01-07 07:26:00,2023-01-07 03:08:35.224992358,2023-01-07 03:08:35.224992358,Internet connection unstable,Network,2 - High,Network
admin,INC0000000004,Beth Anglin,Resolved,Bud Richman,Luke Wilson,2023-01-07 16:57:00,2023-01-16 12:59:26.099029537,2023-01-16 12:59:26.099029537,Software update issue,Software,3 - Moderate,Software
admin,INC0000000005,Charlie Whitherspoon,Resolved,Bud Richman,Luke Wilson,2023-01-08 01:36:00,2023-01-18 03:18:45.684366668,2023-01-18 03:18:45.684366668,Email server not responding,Network,2 - High,Network
employee,INC0000000006,Luke Wilson,Closed,ITIL User,Howard Johnson,2023-01-08 23:14:00,2023-01-15 16:39:25.589712853,2023-01-15 16:39:25.589712853,Database connection lost,Database,1 - Critical,Database
admin,INC0000000007,Fred Luddy,Closed,Bud Richman,Luke Wilson,2023-01-10 12:47:00,2023-01-10 09:07:14.716022937,2023-01-10 09:07:14.716022937,Unable to access the company database,Database,2 - High,Database
system,INC0000000008,Howard Johnson,Resolved,ITIL User,Fred Luddy,2023-01-10 16:00:00,2023-01-13 11:11:59.999999999,2023-01-13 11:11:59.999999999,Can't access to the company's shared directory,Network,2 - High,Hardware
employee,INC0000000009,Luke Wilson,Closed,ITIL User,Howard Johnson,2023-01-13 06:23:00,2023-01-29 13:22:36.397892128,2023-01-29 13:22:36.397892128,Cannot connect to internal network on new device,Network,2 - High,Network
system,INC0000000010,Luke Wilson,Closed,Bud Richman,Fred Luddy,2023-01-13 18:11:00,2023-01-17 03:47:00.000000000,2023-01-17 03:47:00.000000000,Unable to access database,Database,2 - High,Database
employee,INC0000000011,Luke Wilson,Resolved,David Loo,Fred Luddy,2023-01-14 09:58:00,2023-01-18 00:22:00.000000000,2023-01-18 00:22:00.000000000,Printer malfunction in the third floor,Hardware,2 - High,Hardware
admin,INC0000000012,Luke Wilson,Closed,Bud Richman,Beth Anglin,2023-01-14 13:15:00,2023-01-25 23:22:09.197690118,2023-01-25 23:22:09.197690118,Email client not syncing correctly,Service Desk,2 - High,Software
employee,INC0000000013,Howard Johnson,Resolved,ITIL User,Luke Wilson,2023-01-15 02:23:00,2023-01-20 02:37:35.695824230,2023-01-20 02:37:35.695824230,Email server issue,Network,2 - High,Network
admin,INC0000000014,Howard Johnson,Closed,ITIL User,Howard Johnson,2023-01-16 00:12:00,2023-01-23 18:06:25.205509515,2023-01-23 18:06:25.205509515,Unable to access database,Database,2 - High,Database
employee,INC0000000015,Charlie Whitherspoon,Closed,Don Goodliffe,Beth Anglin,2023-01-16 15:41:00,2023-01-17 23:29:52.510684684,2023-01-17 23:29:52.510684684,Unable to connect to database,Database,1 - Critical,Database
system,INC0000000016,Howard Johnson,Resolved,ITIL User,Charlie Whitherspoon,2023-01-17 00:13:00,2023-01-19 20:14:02.983575645,2023-01-19 20:14:02.983575645,Unable to connect to the VPN,Network,2 - High,Network
employee,INC0000000017,Luke Wilson,Resolved,Don Goodliffe,Luke Wilson,2023-01-17 06:40:00,2023-01-20 02:51:17.303032697,2023-01-20 02:51:17.303032697,Database server crash,Database,1 - Critical,Database
admin,INC0000000018,Howard Johnson,Resolved,ITIL User,Charlie Whitherspoon,2023-01-18 02:37:00,2023-01-29 00:46:15.868373165,2023-01-29 00:46:15.868373165,Cannot connect to the VPN,Network,2 - High,Network
system,INC0000000019,Beth Anglin,Resolved,Don Goodliffe,Howard Johnson,2023-01-18 02:43:00,2023-02-02 16:05:52.122904119,2023-02-02 16:05:52.122904119,Unable to connect to the server,Network,1 - Critical,Network
employee,INC0000000020,Howard Johnson,Closed,ITIL User,Beth Anglin,2023-01-18 12:22:00,2023-01-22 12:37:33.879417443,2023-01-22 12:37:33.879417443,Unable to log in to server,Network,2 - High,Software
employee,INC0000000021,Beth Anglin,Resolved,Bud Richman,Fred Luddy,2023-01-18 12:55:00,2023-01-22 22:31:00.000000000,2023-01-22 22:31:00.000000000,Email server down,Network,1 - Critical,Network
employee,INC0000000022,Fred Luddy,Resolved,ITIL User,Luke Wilson,2023-01-19 04:20:00,2023-01-23 07:31:11.083068080,2023-01-23 07:31:11.083068080,SQL Server Database error,Database,2 - High,Database
employee,INC0000000023,Beth Anglin,Resolved,Bud Richman,Charlie Whitherspoon,2023-01-19 07:03:00,2023-01-25 13:05:34.527373018,2023-01-25 13:05:34.527373018,WiFi connectivity issue in meeting room,Network,2 - High,Network
admin,INC0000000024,Howard Johnson,Resolved,ITIL User,Howard Johnson,2023-01-20 12:03:00,2023-02-03 15:06:29.868859087,2023-02-03 15:06:29.868859087,Email client is not syncing,Service Desk,3 - Moderate,Software
employee,INC0000000025,Howard Johnson,Closed,ITIL User,Fred Luddy,2023-01-23 02:47:00,2023-01-28 12:23:00.000000000,2023-01-28 12:23:00.000000000,Email server is not responding,Network,1 - Critical,Network
admin,INC0000000026,Luke Wilson,Closed,Bud Richman,Howard Johnson,2023-01-23 22:06:00,2023-02-06 18:45:52.232941037,2023-02-06 18:45:52.232941037,Email server down,Network,1 - Critical,Hardware
employee,INC0000000027,Charlie Whitherspoon,Closed,Don Goodliffe,Luke Wilson,2023-01-26 19:25:00,2023-01-27 05:36:46.039481001,2023-01-27 05:36:46.039481001,Database query error,Database,2 - High,Database
employee,INC0000000028,Howard Johnson,Resolved,Bud Richman,Howard Johnson,2023-01-27 17:00:00,2023-01-31 11:19:25.294331136,2023-01-31 11:19:25.294331136,Email client issue with syncing,Hardware,3 - Moderate,Software
