user_id,name,schedule,role,email,manager,department,location
57a43b4f-a243-4c07-8796-1bf5cf26f131,Kevin Evans,2024-05-13,Developer,ajohnson@example.com,Ed Gompf,IT,Port Dustin
faf84856-8c42-4731-9bbe-b0b0e0350f73,Jessica Robertson,2020-07-20,Analyst,robertstewart@example.org,Ed Gompf,IT,London
56e0f3c4-8dfc-4469-b00d-822776bdb7e4,Robert Anderson,2024-02-14,Analyst,salaspaula@example.net,Ed Gompf,IT,Thomasview
46812837-7f2a-4fc6-9976-a888f219f249,Jamie Brennan,2024-06-26,Developer,jrussell@example.org,Ed Gompf,IT,Jessicaview
5b563caa-ca27-409b-bf14-9402ff7347f3,Joe Hodge,2021-03-12,Analyst,qjohnson@example.net,Ed Gompf,IT,Tokyo
4adf49c5-07bc-4bd5-95ba-afd0c175396d,Julie Gordon,2020-08-28,Employee,plee@example.net,Ed Gompf,IT,Tokyo
a0c6565e-b9ae-457d-8db1-52ae8f7ab79a,Charles Collins,2021-01-17,Employee,jamesescobar@example.org,Ed Gompf,IT,London
fd0cae41-eca0-4d2d-a5ea-935c2b4231cf,Timothy Ochoa,2021-12-27,Employee,traviselliott@example.com,Ed Gompf,IT,London
ba16ff4e-2c26-4519-ab8c-a49a97f88b9d,Marcus Munoz,2022-08-06,Developer,zacharydiaz@example.com,Ed Gompf,IT,Tokyo
458419a0-d8df-48dc-b242-73938ce0c7aa,Gary Crosby,2022-07-12,Employee,cartermichele@example.org,Ed Gompf,IT,Tokyo
655c3449-9d0f-4ac4-a946-8f23ba260a92,Stacy Duran,2021-09-04,Employee,john88@example.net,Ed Gompf,IT,London
fdf68f39-4204-4448-b30b-6c3761ab5b35,Richard Taylor,2024-02-08,Analyst,ggill@example.org,Ed Gompf,IT,Port Edward
1f287a5a-2e37-4b78-975d-f4d2c91541e6,Noah Matthews,2024-05-27,Analyst,angela43@example.org,Ed Gompf,IT,Lake Ambertown
9750fc4b-02a6-4459-952a-2ac05ad7f8dc,Reginald Lawrence,2020-08-14,Analyst,newtonkelly@example.org,Ed Gompf,IT,London
56ac6553-4745-442c-b605-42b0929fec10,David Wolfe,2023-12-09,Analyst,frederickschmidt@example.net,Ed Gompf,IT,Campbellhaven
8c693d72-b0d7-44e0-a6b4-e896f8b96823,David Johnson,2024-01-11,Developer,rothstephanie@example.com,Ed Gompf,IT,Daniellechester
41e7dc52-937b-4b3c-a0fd-5a210640646b,Aaron Miller,2024-07-01,Employee,vcardenas@example.com,Ed Gompf,IT,Lake Douglas
a1e18139-7160-479b-bf0a-255213caeae9,Pamela Mann,2020-01-22,Developer,ashley05@example.com,Ed Gompf,IT,London
af3f0f8f-0fea-405a-b8f7-abb4bf4f994e,William Vasquez,2023-12-14,Employee,barrerakatelyn@example.org,Ed Gompf,IT,Nguyenbury
b58b697b-43e7-4419-8177-241b5bfe3f35,Lori Brown,2022-06-28,Developer,thomasjennifer@example.net,Ed Gompf,IT,London
04e17d15-4de2-40ce-a597-321900806901,David Burgess,2023-12-25,Employee,jesse01@example.com,Ed Gompf,IT,Port Matthew
e6db121f-ad3a-46b1-8d55-b4c83811dbc8,Brian Ellis,2021-11-17,Developer,jonesandre@example.com,Ed Gompf,IT,Tokyo
6db59343-5a04-4109-9b23-a4f9e0081a11,Heather Kim,2023-11-13,Analyst,jessicaball@example.org,Ed Gompf,IT,Port Andrewmouth
154c7878-5e9c-4a18-9d56-0bd885292f1f,Nathan Lee,2024-07-01,Developer,josephprince@example.net,Ed Gompf,IT,Paulborough
f0fb5071-82fa-4fe9-85cf-c7b9ace6ca24,Edward Reynolds,2024-07-31,Employee,jillianharris@example.org,Ed Gompf,IT,Lake Angela
622bdfd1-c38a-48bd-bf77-6e61efaa6f9c,Michelle Lawrence,2021-03-12,Analyst,leonard38@example.com,Ed Gompf,IT,Tokyo
7490e737-8f53-4948-9ddd-110a3b0df6cb,Richard Pearson,2022-04-13,Analyst,angela14@example.net,Ed Gompf,IT,London
