goal_id,state,owner,department,start_date,end_date,description,priority,percent_complete,target_percentage,category,goal_met
83be5a75-1c83-4b30-88d8-dfb57731a568,Closed,Courtney Bray,Finance,2024-07-30,2024-09-04,This goal involves collaborate efforts across multiple departments.,High,59.53,87.84,Efficiency,False
297db06d-98b8-4674-918e-241f613d04d3,Open,Joshua Jennings,Finance,2024-07-09,2024-10-02,This goal involves joint efforts across multiple departments.,Medium,67.33,84.03,Customer Satisfaction,False
5e48505b-915f-4636-a809-1f9f31020227,In Progress,Steven Harmon,Finance,2024-08-05,2024-10-14,This goal involves integration efforts across multiple departments.,High,92.36,77.6,Employee Satisfaction,True
d10b55a8-47d5-4254-bdac-cf9eaa7c1d59,In Progress,Jo Wise,Finance,2023-11-09,2024-04-04,Method draw present a worry meet training coach.,Critical,91.04,75.86,Revenue Growth,True
a0683223-18f2-4602-aa06-f036edf7a1db,In Progress,Mike Johnson,IT,2024-08-30,2024-11-17,This goal involves integration efforts across multiple departments.,Critical,76.06,77.11,Cost Reduction,False
836fa5c7-2b59-4133-a375-d78e21cb241b,In Progress,Scott Serrano,Operations,2024-05-12,2024-07-22,Best simple where partner about expert card.,High,51.69,83.67,Efficiency,False
88de4b34-a5f6-4c10-812a-4eb603b013c3,Closed,Lawrence Blair,Sales,2024-03-09,2024-08-22,How table stay conference strategy watch admit.,Critical,62.7,82.8,Customer Satisfaction,False
0fbfad5d-531e-4c73-81b5-493743cea1a3,Closed,Jocelyn Hale,Operations,2024-04-23,2024-06-06,Myself effect positive seek open Mr.,Low,97.51,71.32,Customer Satisfaction,True
b263ac26-1bf5-4524-9d6f-e401e2efdcc1,Closed,Alexandra Harmon,Operations,2024-03-14,2024-06-06,Leg responsibility movement rich sure air.,High,53.77,75.3,Employee Satisfaction,False
af1223f4-085d-43cf-bf28-c0a3ce5e0981,Closed,Margaret Daugherty,IT,2024-01-14,2024-04-20,Maintain knowledge answer cultural industry.,High,54.14,89.95,Revenue Growth,False
b17f38d5-ac2f-4ac3-a84d-55ef09476897,In Progress,Angela Bush,Finance,2024-05-24,2024-07-05,This goal involves cross-departmental efforts across multiple departments.,Critical,64.91,67.7,Cost Reduction,False
6d47bd8e-3795-420d-9d31-6df92cd32fa5,In Progress,Christopher Smith,IT,2023-12-22,2024-01-23,Head expert explain central argue forget contain.,Medium,75.85,72.82,Cost Reduction,True
1f3ebab7-6272-43f7-b568-dfbf36a23bf6,In Progress,Sean Dixon,Sales,2023-11-15,2024-04-09,Few inside piece church chance product light offer.,Low,75.37,70.01,Cost Reduction,True
344f77f3-edaa-42d9-bf58-6e5fcf94e277,Open,Ann Gross,Operations,2024-09-12,2025-02-18,Magazine indeed myself you staff possible.,Critical,76.82,89.07,Revenue Growth,False
c17c9ae6-0ef3-48ca-8ce5-32d66438c931,Open,Samantha Glenn,IT,2024-01-06,2024-04-27,Just himself energy often.,Critical,58.19,86.63,Employee Satisfaction,False
6768b7de-608d-46ff-bedb-1af46273e939,Open,Wanda Romero,Sales,2024-02-14,2024-08-07,Suffer cultural you unit war image close.,Critical,94.2,75.21,Cost Reduction,True
3e6d1173-0041-4a14-83c3-288321cde399,Open,Christina Rose,HR,2024-03-28,2024-09-14,Candidate yet fast account total country join.,High,57.68,74.24,Customer Satisfaction,False
9bc56003-5aad-444f-a09b-abff52c5634e,Closed,Justin Fitzgerald,Sales,2024-06-13,2024-09-30,Which tend responsibility both deep us information song.,Low,82.73,80.35,Employee Satisfaction,True
7f71b4ac-91bc-42e0-b3bf-a680469167e4,Open,William Burton,Finance,2024-07-08,2024-11-01,This goal involves joint efforts across multiple departments.,Medium,81.02,74.16,Cost Reduction,True
0f3a47ae-1e26-42da-8b9e-6d8cdaea5164,Open,Cole Rodriguez,Operations,2024-10-24,2024-12-11,Health far rule visit.,High,98.24,72.65,Revenue Growth,True
7ca0fd26-e1e2-4476-95d6-d1d2d0bafa6d,Closed,Donna Little,IT,2024-05-26,2024-10-24,Happen design now drug administration.,Medium,84.03,71.94,Customer Satisfaction,True
17532301-67ce-4e2c-89b4-c413b85b3254,In Progress,Jessica Cruz,HR,2024-01-21,2024-06-18,Party son too participant.,Medium,78.89,68.05,Cost Reduction,True
37ab5bc9-f73e-43c2-bacd-a75ef90276cc,Open,Billy Lewis,Sales,2024-06-07,2024-08-25,This goal involves joint efforts across multiple departments.,Medium,100.0,75.0,Customer Satisfaction,True
c5476c14-c776-4e0b-b024-ae3e7105e4c8,Closed,Kenneth Ellis,Finance,2024-03-17,2024-04-28,Performance past wall seat especially hope.,Low,54.49,86.97,Revenue Growth,False
c7d07918-760d-4928-9cad-bd60025e3093,In Progress,Dana Cruz,HR,2024-10-20,2025-01-12,This goal involves collaborate efforts across multiple departments.,Low,69.27,75.3,Employee Satisfaction,False
5dd997e8-06b9-44a9-bc7c-34d4691124cc,In Progress,Joanne Peters,IT,2024-06-17,2024-11-18,This goal involves collaborate efforts across multiple departments.,Critical,70.88,80.84,Customer Satisfaction,False
9a04bf63-c865-4c6f-b016-2e5d0775c850,Closed,Tanya Rivera,HR,2024-04-26,2024-10-01,Show bank eye hour forward.,Critical,89.36,73.72,Revenue Growth,True
cb70b2f8-a737-4468-9303-c482303afb9c,Closed,Colleen Mills,Sales,2024-10-26,2025-03-08,Need performance outside seek minute probably.,Low,64.01,60.79,Cost Reduction,True
e61895cc-61c7-4426-9231-6721e14fb37d,Closed,John Robinson,IT,2023-12-12,2024-06-03,This goal involves integration efforts across multiple departments.,High,99.25,77.92,Revenue Growth,True
48d8b0ea-cc13-4aa0-9f94-def7b1031edf,In Progress,Amy Knight,Finance,2024-09-17,2024-10-19,Yes big marriage he quickly agency.,Medium,90.49,80.75,Employee Satisfaction,True
8ed90589-cc3b-41f3-b003-2fa3966c0b23,Open,Jesse Carroll,Operations,2024-05-24,2024-07-10,This goal involves partnership efforts across multiple departments.,High,80.22,82.23,Customer Satisfaction,False
7f1ef9b0-cbdf-4fe6-8704-c5ca10cbad36,Open,Whitney Hill,IT,2024-07-20,2024-11-03,This goal involves collaborate efforts across multiple departments.,Low,59.49,74.85,Cost Reduction,False
c810cf55-99c8-4415-968c-5e9ecd8a9662,Open,Angela Davis,Operations,2024-08-11,2024-11-01,This goal involves collaborate efforts across multiple departments.,Medium,89.45,78.47,Efficiency,True
6f5a770c-dda1-48dd-a94f-c2b539f9b52c,Open,Candace Fisher,Operations,2023-11-06,2024-01-16,Citizen conference former hotel.,Medium,96.67,71.5,Employee Satisfaction,True
b9a4a199-1730-4735-9619-40e54d1dd761,Open,Brittany Sanchez,IT,2024-07-05,2024-08-13,This goal involves joint efforts across multiple departments.,Medium,100.0,77.29,Efficiency,True
af9d7dfe-eeab-4be0-945a-96ff346cd83d,Open,Michael Weaver,Operations,2023-12-05,2024-02-26,Source dream month husband official wrong.,Medium,76.77,87.49,Customer Satisfaction,False
dd1b93be-ad4e-4d69-ae42-c9f0d194e3fc,Closed,Darrell Wyatt,Sales,2024-01-20,2024-04-19,Race thank according study field forward reach.,Low,57.73,70.5,Customer Satisfaction,False
5fd30042-bdf0-4aba-8700-0fe726baa4ff,In Progress,Tammy Green,HR,2023-11-26,2024-02-27,Stand stage body government though go.,Critical,55.07,70.77,Efficiency,False
80a72b03-0cfb-4399-a587-ab36f04d148c,Open,Casey Williams,HR,2023-12-10,2024-04-07,National compare source Democrat environment father current.,Low,89.89,83.2,Efficiency,True
d92bdba2-0fd4-4236-a5f7-adff9e213b70,In Progress,Brian Booker,Finance,2024-10-05,2025-01-14,Trade her whom with college serious.,Medium,69.47,80.72,Efficiency,False
aafcdb2a-5320-4015-af3d-b96d6796892c,Open,Danielle Harper,Operations,2023-12-12,2024-02-25,This goal involves collaborate efforts across multiple departments.,Low,70.48,76.91,Revenue Growth,False
43cbdf85-c83f-4d2e-9b2f-1131f2cd2ad5,Closed,Tyler Travis,Finance,2024-10-16,2025-02-21,This goal involves cross-departmental efforts across multiple departments.,Critical,100.0,88.51,Revenue Growth,True
83d919fd-0b16-4213-bd8b-1c161eafe965,Closed,David Hardy,Sales,2023-12-25,2024-04-26,Politics return far whom involve wife affect hot.,Critical,63.8,76.28,Employee Satisfaction,False
e59c9225-42c2-4c9b-919c-4e3142c2ae56,Closed,Michelle Spencer DDS,Operations,2024-05-05,2024-10-11,Different foreign interesting cost popular.,Medium,54.05,81.09,Efficiency,False
55404706-910b-407a-bf15-0c12ba4c1891,Closed,Aaron Hunt,HR,2023-12-24,2024-03-07,Others early experience operation.,Medium,53.38,76.08,Revenue Growth,False
199f4969-afc6-4e1a-8359-6057a77a7563,Closed,Dawn Craig,IT,2024-01-01,2024-04-22,Reality husband might movement heart perform.,High,74.84,85.87,Employee Satisfaction,False
58d17379-abb3-4747-8c58-aff6544125c0,Closed,Max Phillips,Sales,2024-07-06,2024-08-26,Mr receive or everybody.,Medium,96.61,86.37,Efficiency,True
2dc0a67e-82fb-462e-96df-57ed792659fc,Closed,Ashley Miller,Operations,2024-02-13,2024-05-10,This goal involves cross-departmental efforts across multiple departments.,Critical,70.98,85.37,Customer Satisfaction,False
bc6c37e2-4e02-445d-9786-0549d255f468,Closed,Scott Delgado,Sales,2024-04-19,2024-08-25,This goal involves collaborate efforts across multiple departments.,High,82.98,87.21,Employee Satisfaction,False
26e4d2a4-3bfb-415e-9e92-d04bd9785ee9,Open,Megan Wells,Sales,2024-09-18,2025-02-27,This goal involves collaborate efforts across multiple departments.,Critical,77.32,86.03,Employee Satisfaction,False
a0819369-1b3c-4220-89dd-e9f98a7d5ddc,Closed,Karl Cross,Operations,2024-02-04,2024-06-26,Research trouble trial machine show.,Low,93.43,88.14,Revenue Growth,True
69b7365a-068b-4043-8488-773d3f291623,Open,Christine Chen,HR,2024-02-16,2024-07-10,Hear research clear girl tend defense according.,Medium,92.55,85.55,Efficiency,True
0e3a3f6d-3c6a-4196-9f95-936ac35c0131,Open,Danielle Martinez,Operations,2024-04-11,2024-08-31,This goal involves integration efforts across multiple departments.,Medium,81.0,70.8,Cost Reduction,True
eb4343a3-a7bc-4432-9cb2-3dae9b73679f,Closed,Christopher Crawford,Sales,2024-01-04,2024-03-28,Civil program significant government government option can lawyer.,High,55.2,61.25,Cost Reduction,False
8a1b9940-bc8e-4f6e-85bb-706360f58594,In Progress,Tabitha Martinez,IT,2024-05-21,2024-06-25,This goal involves integration efforts across multiple departments.,High,75.05,77.8,Revenue Growth,False
ab4b802d-a4db-458f-8942-e27817e0b3f8,Closed,Jennifer Davis,IT,2024-10-26,2025-01-20,Bed expect send education.,High,92.53,76.72,Employee Satisfaction,True
d5a4e0fd-9cd3-4779-b2a9-cf0e1f997c88,In Progress,Michael Rodriguez,Sales,2024-03-09,2024-08-05,Would already box on.,Low,64.48,81.84,Customer Satisfaction,False
cef90203-e8af-4699-affc-91db4a641855,Open,Eric Hess,HR,2024-06-01,2024-08-04,This goal involves integration efforts across multiple departments.,Critical,69.48,76.54,Employee Satisfaction,False
7f4055bc-bfe1-4731-ae20-e7015ab3a447,In Progress,Eric Martinez DDS,Operations,2024-03-02,2024-04-21,Significant hard heavy not have until.,Critical,61.05,77.0,Employee Satisfaction,False
6cc26fe2-a87f-4c95-a6d5-5253edd7bca6,Closed,Brian Fisher,Finance,2023-11-07,2023-12-14,This goal involves joint efforts across multiple departments.,Critical,61.97,79.47,Customer Satisfaction,False
181d7af5-6014-4f3b-ae4a-a439d72de0f0,In Progress,Eric Evans,Operations,2024-09-21,2025-01-23,Action professional large next.,Medium,54.19,85.56,Customer Satisfaction,False
c64525c8-767f-41a5-9953-7b0116bbaaf2,In Progress,Megan Hurst,Finance,2024-09-24,2025-03-21,Yard hour allow care appear.,Low,61.77,67.51,Cost Reduction,False
bcadedb9-f256-4b6d-8324-f9b190b732e3,Open,Adam Calderon,Finance,2024-01-23,2024-04-24,Else process one voice board player.,Medium,95.13,76.11,Cost Reduction,True
f6b05586-a544-4948-a638-13a9639c9987,Closed,Catherine Burke,Finance,2023-12-18,2024-04-14,Lay difference thank sister present piece.,High,64.29,76.82,Revenue Growth,False
c3fd57f1-8379-45d7-b763-c9feb27d4481,In Progress,Tina Gillespie,Finance,2024-10-24,2025-03-13,Effort student type drop wide improve social.,Medium,63.73,78.71,Efficiency,False
5d5248fd-1174-4eb4-9ee9-b190f78d6a1c,Closed,Diana Stafford MD,Operations,2024-08-24,2025-02-07,School sell responsibility deep understand.,High,54.04,76.45,Employee Satisfaction,False
573cbae4-ebc3-482c-b9e9-583b921fdb10,Open,Jessica Johnson,Operations,2024-09-12,2025-02-04,Less art artist thought describe.,Medium,58.27,76.73,Customer Satisfaction,False
16f142bc-12d4-4355-a1ea-3a032313e0a2,In Progress,Cheyenne Moore,Sales,2024-09-18,2025-02-19,This goal involves integration efforts across multiple departments.,High,61.69,84.02,Customer Satisfaction,False
9f855568-3dd8-42a4-aca7-4610a70108e3,Open,Cheryl Garcia,Finance,2024-07-28,2024-10-27,All various thus man choice since edge.,High,61.25,82.92,Employee Satisfaction,False
428fdda8-760c-4195-b30d-ad168a6c9121,Open,Janice Ferguson,Finance,2024-08-22,2024-12-05,This goal involves partnership efforts across multiple departments.,High,67.23,81.07,Customer Satisfaction,False
d4e204dd-cea3-4253-bacc-1986fed5914a,Closed,Paul Castillo,Operations,2023-11-25,2024-03-24,This goal involves collaborate efforts across multiple departments.,High,71.87,76.31,Employee Satisfaction,False
505e415a-81c7-4248-b5b2-f9cdb35653ce,Closed,Jacob Anderson,Sales,2024-03-13,2024-05-31,This goal involves partnership efforts across multiple departments.,Medium,61.3,80.49,Customer Satisfaction,False
07e489e7-282b-4d62-8f82-95946719feb1,Open,Noah Vega,Operations,2024-08-10,2024-11-06,This goal involves partnership efforts across multiple departments.,Critical,78.96,70.91,Efficiency,True
2e02931a-a560-406d-83a7-ab9f0bba10bb,Open,Jessica Garcia,HR,2024-01-23,2024-03-19,Bring field yet.,Medium,65.55,63.69,Cost Reduction,True
8beb33de-0ed9-404d-9541-583de0bfd949,In Progress,Brenda Davis,Finance,2024-08-03,2024-09-18,Would yet audience vote station.,High,60.57,73.03,Employee Satisfaction,False
6562709b-0ff7-4344-bdff-12c6707d057b,In Progress,Melissa Knight,Finance,2024-01-25,2024-04-27,Senior teach indicate support indeed along speech most.,Medium,93.8,72.37,Cost Reduction,True
c0f71dd7-f724-48c3-ba95-52eb68974d1e,In Progress,Tyler Smith,HR,2024-06-23,2024-11-13,Spend expert detail purpose ask recent.,Low,93.14,82.42,Efficiency,True
96a14d2e-76e7-4a34-a827-27491786c736,Closed,Karen Brown,Finance,2024-07-17,2024-10-08,This goal involves joint efforts across multiple departments.,High,78.83,71.5,Customer Satisfaction,True
bfec360c-2e90-4afc-8cd8-9dda7c790111,Closed,Tina Costa,HR,2024-08-04,2024-11-16,Strong card manager later bank dog ability avoid.,High,59.68,69.08,Cost Reduction,False
55546d31-42e4-4d26-b8a1-e0ee43667a76,In Progress,John Anderson,IT,2024-10-04,2024-12-23,This goal involves joint efforts across multiple departments.,Critical,57.72,86.53,Employee Satisfaction,False
7cdff709-faaf-4157-8614-25d615330632,In Progress,Kyle Hernandez,IT,2024-01-24,2024-07-17,Care model usually one man.,High,54.91,78.05,Efficiency,False
347a1149-a0a3-4197-b3e4-70f4f7846e6f,Closed,Frederick Peters,HR,2024-01-03,2024-05-24,Especially along do out section house because.,Medium,50.44,72.07,Cost Reduction,False
118075f0-94da-4e96-a780-1b04c92e21ed,Open,Randall Hill,IT,2024-10-13,2025-04-11,Add front level region dark.,Low,90.45,60.8,Cost Reduction,True
6da0305e-1995-45ed-9175-2485cd93df0c,In Progress,Jill Beck,IT,2024-04-16,2024-09-06,Beat break hand blood allow wife until business.,Critical,51.81,79.83,Efficiency,False
859d8ea4-977a-4be4-b038-910287206e27,In Progress,Eugene Blackburn,HR,2023-11-24,2024-03-18,Likely management we personal society room strong.,Medium,88.52,83.87,Efficiency,True
1b8c2245-7d55-4429-9db3-a528601a2309,In Progress,Candace Jimenez,IT,2024-01-28,2024-03-07,This goal involves collaborate efforts across multiple departments.,Critical,69.25,78.08,Employee Satisfaction,False
b6c45f77-d583-4a0f-ad36-eceec1e6e69d,Closed,Sheila Carroll,IT,2024-06-05,2024-10-31,Responsibility drug several key single stage watch.,Critical,58.83,79.97,Employee Satisfaction,False
ad5e71bb-0929-4d13-ae3a-2f7adbf95d1b,Open,Samuel Williams,Sales,2024-09-28,2025-01-04,This goal involves cross-departmental efforts across multiple departments.,Critical,100.0,89.46,Revenue Growth,True
dd70a95d-9a13-432e-93bb-32931b830f04,Open,Suzanne Berry,Operations,2024-08-13,2025-01-31,This goal involves collaborate efforts across multiple departments.,Medium,100.0,62.35,Cost Reduction,True
02ca3456-1bc8-48aa-b0ce-b016cc8f9fd9,Closed,Meghan Davis,Operations,2024-08-06,2025-01-13,Tonight couple fill attack process cultural black.,High,52.77,79.14,Efficiency,False
248e0067-8f9a-401b-8a92-7943c34b2dde,Open,Natalie Nielsen,IT,2024-07-28,2025-01-04,This goal involves cross-departmental efforts across multiple departments.,Low,94.57,85.75,Customer Satisfaction,True
cb4509be-b087-4c20-807b-87ceb8886340,Closed,Chelsea Harrington,Operations,2024-09-14,2025-03-13,Open campaign red leave name.,Low,87.41,80.77,Revenue Growth,True
e2b5e379-16a0-4815-a0af-aa2f27cb0b06,Closed,Abigail Jones,IT,2024-08-08,2024-12-12,With democratic member degree country.,Low,55.66,74.78,Employee Satisfaction,False
808cfc0c-c79e-4b08-88c4-b7ae28ab090c,In Progress,Heather Gomez,Finance,2024-03-25,2024-07-14,Hour available what deal clear reflect.,Medium,97.0,83.27,Employee Satisfaction,True
1e4a0b61-a7e9-43d0-9810-77f046084bd6,Open,Kelsey Carney,HR,2023-11-06,2023-12-15,Seek actually practice center heart among indeed write.,Medium,62.1,87.48,Customer Satisfaction,False
4c613b52-ad2b-4112-8cf8-73496d5e7458,Closed,Laura Drake,HR,2024-10-20,2024-11-22,Air at history concern power Mr final anyone.,High,99.37,79.39,Customer Satisfaction,True
74c9c22e-8c43-4939-b265-d9ca55b71f13,In Progress,Thomas Nelson,IT,2024-04-19,2024-08-28,Class recognize street hair after teacher radio.,Low,53.99,67.6,Cost Reduction,False
99bf2512-6aeb-4234-be61-94ef15f9b961,Closed,Mark Morris,HR,2024-07-30,2025-01-14,This goal involves integration efforts across multiple departments.,Medium,64.14,74.94,Cost Reduction,False
ef39d4f4-6489-4f93-823f-671f31cc3bd0,Closed,Joanna Garcia,Finance,2024-10-22,2025-03-14,Generation leader professional keep some group.,Medium,90.05,85.92,Customer Satisfaction,True
5c7f30a4-4245-4328-b9e9-62c84dd8ab57,In Progress,Michael Bradley,HR,2023-11-02,2024-01-08,Article guess it board population experience.,Medium,51.06,73.4,Customer Satisfaction,False
0065cf87-268f-446c-9487-93033fd598f3,In Progress,Nancy Hays,IT,2024-02-16,2024-05-17,This goal involves cross-departmental efforts across multiple departments.,Low,72.29,79.19,Employee Satisfaction,False
8e8fe63c-3a38-4f0b-8a49-f243742196ef,In Progress,Michael Barr,Operations,2024-07-09,2024-12-25,All just professional sell daughter fish give.,Critical,65.38,75.98,Customer Satisfaction,False
2714601d-66e5-4e7b-aec0-ad2251442e03,Closed,Daniel Smith,Operations,2024-07-06,2024-11-29,Build easy because recently able.,Critical,58.43,74.74,Efficiency,False
06befdb6-98c3-47e0-adcd-43d6573a5ad1,Closed,Haley Alexander,Operations,2024-03-11,2024-06-24,Off imagine none matter build identify.,Low,90.99,71.32,Cost Reduction,True
f639326c-4a1a-4345-996f-69b6fa708330,Closed,Derek Smith,Finance,2023-11-30,2024-05-05,This goal involves integration efforts across multiple departments.,Medium,89.15,73.8,Efficiency,True
ba68581b-f6b5-49b0-b19f-f8d77671e00e,Closed,Martin Nelson,Sales,2024-01-22,2024-03-16,Perform above hear commercial including evening.,High,51.77,74.65,Cost Reduction,False
